seed,length,model,accuracy,avg_confidence,ece,latency_us_per_example,checksum
0,16,recurrent_last16,1.0,0.9499999999999923,0.050000000000007705,1.8875817768275738,7687
0,16,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,0.7649161852896214,7687
0,16,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,10.093916207551956,7687
0,16,ebm_recent_only_reranker,0.146,0.06995833333333325,0.0760416666666668,8.825665805488825,5194
0,32,recurrent_last16,0.514,0.49062499999999776,0.026625000000002078,2.1256678737699986,7636
0,32,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,1.0914183221757412,7809
0,32,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,10.255749803036451,7809
0,32,ebm_recent_only_reranker,0.098,0.07104166666666661,0.026958333333333463,8.82474984973669,5480
0,64,recurrent_last16,0.262,0.2572625000000005,0.01986249999999952,2.581083681434393,7522
0,64,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,2.347332425415516,7361
0,64,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,11.509666219353676,7361
0,64,ebm_recent_only_reranker,0.06,0.06962499999999996,0.009624999999999915,10.050833690911531,5000
0,128,recurrent_last16,0.168,0.16538750000000021,0.01198749999999981,2.9877503402531147,8116
0,128,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,3.3489163033664227,7599
0,128,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,12.113582342863083,7599
0,128,ebm_recent_only_reranker,0.07,0.06999999999999992,0.0014166666666665829,9.326249826699495,5077
0,256,recurrent_last16,0.092,0.09923750000000005,0.01463750000000002,4.280750174075365,7770
0,256,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,7.1287499740719795,8166
0,256,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,17.51941628754139,8166
0,256,ebm_recent_only_reranker,0.048,0.07095833333333326,0.022958333333333206,9.695500135421753,5084
0,512,recurrent_last16,0.064,0.06248749999999998,0.0018875000000000096,5.416834261268377,7859
0,512,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,15.562916174530983,7949
0,512,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,22.81283400952816,7949
0,512,ebm_recent_only_reranker,0.036,0.07149999999999992,0.03549999999999988,15.793000347912312,5386
1,16,recurrent_last16,1.0,0.9499999999999923,0.050000000000007705,2.097915858030319,7871
1,16,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,0.7670819759368896,7871
1,16,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,11.45541574805975,7871
1,16,ebm_recent_only_reranker,0.148,0.07129166666666661,0.07670833333333342,9.810918010771275,5690
1,32,recurrent_last16,0.546,0.5163499999999975,0.02965000000000243,3.890249878168106,7889
1,32,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,1.311583910137415,7843
1,32,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,10.903249960392714,7843
1,32,ebm_recent_only_reranker,0.104,0.07120833333333336,0.03279166666666673,9.26475040614605,5474
1,64,recurrent_last16,0.284,0.27563750000000026,0.01823749999999948,2.8231656178832054,7824
1,64,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,1.8209158442914486,7855
1,64,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,13.168834149837494,7855
1,64,ebm_recent_only_reranker,0.068,0.07024999999999994,0.002249999999999874,9.48316603899002,5089
1,128,recurrent_last16,0.158,0.1617125000000002,0.017912499999999817,2.967500127851963,7790
1,128,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,3.1787496991455555,7721
1,128,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,12.130999937653542,7721
1,128,ebm_recent_only_reranker,0.06,0.0714583333333333,0.012458333333333212,9.573166258633137,5203
1,256,recurrent_last16,0.112,0.09740000000000004,0.014600000000000023,4.0115839801728725,7656
1,256,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,5.685916170477867,7910
1,256,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,14.288915786892176,7910
1,256,ebm_recent_only_reranker,0.042,0.06899999999999991,0.02699999999999987,10.03591576591134,5403
1,512,recurrent_last16,0.058,0.05881249999999998,0.0038125000000000064,7.258833851665258,7424
1,512,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,14.633581973612309,7657
1,512,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,19.982750061899424,7657
1,512,ebm_recent_only_reranker,0.024,0.07012499999999992,0.046124999999999874,10.135333985090256,5181
2,16,recurrent_last16,1.0,0.9499999999999923,0.050000000000007705,2.667081542313099,7675
2,16,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,1.0071657598018646,7675
2,16,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,10.790165979415178,7675
2,16,ebm_recent_only_reranker,0.17,0.07045833333333326,0.0995416666666668,9.165331721305847,5289
2,32,recurrent_last16,0.52,0.4979749999999977,0.028775000000002222,2.386000007390976,7618
2,32,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,1.1717500165104866,7581
2,32,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,11.020750273019075,7581
2,32,ebm_recent_only_reranker,0.1,0.07112499999999997,0.0288750000000001,9.420165792107582,5551
2,64,recurrent_last16,0.28,0.2738000000000003,0.020199999999999486,3.4819156862795353,7507
2,64,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,1.8004160374403,7457
2,64,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,18.255415838211775,7457
2,64,ebm_recent_only_reranker,0.078,0.07062499999999994,0.007375000000000113,9.155165869742632,5422
2,128,recurrent_last16,0.16,0.14701250000000018,0.012987499999999865,3.006999846547842,7837
2,128,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,3.126665949821472,7764
2,128,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,12.111000251024961,7764
2,128,ebm_recent_only_reranker,0.058,0.07133333333333329,0.013333333333333178,10.196584276854992,5383
2,256,recurrent_last16,0.1,0.10107500000000004,0.008675000000000009,3.5764998756349087,7613
2,256,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,6.039666011929512,7547
2,256,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,15.106999780982733,7547
2,256,ebm_recent_only_reranker,0.058,0.07149999999999995,0.013499999999999856,9.839834179729223,5513
2,512,recurrent_last16,0.064,0.06983749999999998,0.010037500000000015,3.0064182355999947,7935
2,512,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,10.618334170430899,7500
2,512,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,19.918834324926138,7500
2,512,ebm_recent_only_reranker,0.05,0.07045833333333328,0.0204583333333332,9.260332211852074,5431
3,16,recurrent_last16,1.0,0.9499999999999923,0.050000000000007705,2.1904162131249905,7831
3,16,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,0.8916659280657768,7831
3,16,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,10.128084104508162,7831
3,16,ebm_recent_only_reranker,0.174,0.07091666666666659,0.10308333333333347,8.911500219255686,5683
3,32,recurrent_last16,0.518,0.4887874999999978,0.029212500000002067,2.1836659871041775,7981
3,32,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,1.1186660267412663,7940
3,32,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,11.134333908557892,7940
3,32,ebm_recent_only_reranker,0.086,0.07079166666666659,0.015208333333333482,9.058165829628706,5238
3,64,recurrent_last16,0.288,0.27931250000000024,0.018312499999999503,2.512499690055847,7649
3,64,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,1.795915886759758,7879
3,64,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,11.004084255546331,7879
3,64,ebm_recent_only_reranker,0.058,0.07074999999999995,0.0127499999999999,9.084749966859818,5172
3,128,recurrent_last16,0.156,0.13966250000000016,0.016337499999999887,2.578750252723694,7518
3,128,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,2.850581891834736,7980
3,128,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,12.24549999460578,7980
3,128,ebm_recent_only_reranker,0.052,0.07054166666666664,0.01854166666666653,9.29433386772871,5376
3,256,recurrent_last16,0.084,0.08453750000000003,0.006337500000000027,3.4335837699472904,7384
3,256,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,6.361749954521656,7270
3,256,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,14.974999707192183,7270
3,256,ebm_recent_only_reranker,0.04,0.07120833333333328,0.031208333333333234,9.693500120192766,5228
3,512,recurrent_last16,0.068,0.064325,0.0036750000000000094,4.236582200974226,7598
3,512,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,11.271083727478981,7943
3,512,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,18.327918369323015,7943
3,512,ebm_recent_only_reranker,0.028,0.07070833333333325,0.04270833333333325,9.818915743380785,5500
4,16,recurrent_last16,1.0,0.9499999999999923,0.050000000000007705,2.1157502196729183,7926
4,16,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,0.7940842770040035,7926
4,16,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,9.93033405393362,7926
4,16,ebm_recent_only_reranker,0.152,0.07062499999999991,0.08137500000000011,7.345249876379967,5330
4,32,recurrent_last16,0.516,0.4795999999999979,0.03640000000000197,1.8292502500116825,7754
4,32,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,0.9708339348435402,7503
4,32,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,8.849499747157097,7503
4,32,ebm_recent_only_reranker,0.104,0.07041666666666664,0.04008333333333342,9.128166362643242,5295
4,64,recurrent_last16,0.274,0.26828750000000035,0.020087499999999495,2.477250061929226,7712
4,64,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,1.7753341235220432,7749
4,64,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,11.057584080845118,7749
4,64,ebm_recent_only_reranker,0.05,0.07129166666666661,0.021291666666666553,9.425166063010693,5523
4,128,recurrent_last16,0.164,0.14333750000000015,0.020662499999999882,2.7949181385338306,7619
4,128,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,3.0640000477433205,7608
4,128,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,12.617833912372589,7608
4,128,ebm_recent_only_reranker,0.044,0.07129166666666663,0.02729166666666653,9.645584039390087,5628
4,256,recurrent_last16,0.1,0.09740000000000004,0.004600000000000018,3.0054179951548576,7622
4,256,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,5.161583889275789,7843
4,256,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,12.510417960584164,7843
4,256,ebm_recent_only_reranker,0.032,0.0709166666666666,0.03891666666666658,7.949583698064088,5164
4,512,recurrent_last16,0.046,0.056974999999999984,0.013775000000000004,3.731667995452881,8026
4,512,transformer_attention_lookup,1.0,0.9900000000000061,0.009999999999993903,11.244750116020441,7457
4,512,ebm_full_context_reranker,1.0,0.08061744789631518,0.9193825521036848,17.118749674409628,7457
4,512,ebm_recent_only_reranker,0.036,0.07187499999999995,0.03587499999999988,9.052168112248182,5524
